序号,名称,介绍,招生简章
1,北京大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1.dhtml
2,中国人民大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-2.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2.dhtml
3,清华大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-3.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-3.dhtml
4,北京交通大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-4.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-4.dhtml
5,北京工业大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-5.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-5.dhtml
6,北京航空航天大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-6.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6.dhtml
7,北京理工大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-7.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-7.dhtml
8,北京科技大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-8.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-8.dhtml
9,北方工业大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-9.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-9.dhtml
10,北京化工大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-10.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-10.dhtml
11,北京工商大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-11.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-11.dhtml
12,北京服装学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-12.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-12.dhtml
13,北京邮电大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-13.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-13.dhtml
14,北京印刷学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-14.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-14.dhtml
15,北京建筑大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-15.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-15.dhtml
16,北京石油化工学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-16.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-16.dhtml
17,北京电子科技学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-17.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-17.dhtml
18,中国农业大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-18.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-18.dhtml
19,北京农学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-19.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-19.dhtml
20,北京林业大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-20.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-20.dhtml
21,北京协和医学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-21.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-21.dhtml
22,首都医科大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-22.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-22.dhtml
23,北京中医药大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-23.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-23.dhtml
24,北京师范大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-24.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-24.dhtml
25,首都师范大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-25.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-25.dhtml
26,首都体育学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-26.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-26.dhtml
27,北京外国语大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-27.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-27.dhtml
28,北京第二外国语学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-28.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-28.dhtml
29,北京语言大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-29.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-29.dhtml
30,中国传媒大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-30.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-30.dhtml
31,中央财经大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-31.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-31.dhtml
32,对外经济贸易大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-32.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-32.dhtml
33,北京物资学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-33.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-33.dhtml
34,首都经济贸易大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-34.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-34.dhtml
35,中国消防救援学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-2347709988.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2347709988.dhtml
36,外交学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-35.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-35.dhtml
37,中国人民公安大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-36.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-36.dhtml
38,国际关系学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-37.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-37.dhtml
39,北京体育大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-38.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-38.dhtml
40,中央音乐学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-39.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-39.dhtml
41,中国音乐学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-40.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-40.dhtml
42,中央美术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-41.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-41.dhtml
43,中央戏剧学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-42.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-42.dhtml
44,中国戏曲学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-43.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-43.dhtml
45,北京电影学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-44.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-44.dhtml
46,北京舞蹈学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-45.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-45.dhtml
47,中央民族大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-46.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-46.dhtml
48,中国政法大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-47.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-47.dhtml
49,华北电力大学(北京),https://gaokao.chsi.com.cn/sch/schoolInfo--schId-91460.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-91460.dhtml
50,北京工业职业技术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-638.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-638.dhtml
51,北京信息职业技术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-640.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-640.dhtml
52,北京电子科技职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-641.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-641.dhtml
53,北京京北职业技术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-725.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-725.dhtml
54,中华女子学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-740.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-740.dhtml
55,北京信息科技大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-742.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-742.dhtml
56,中国矿业大学(北京),https://gaokao.chsi.com.cn/sch/schoolInfo--schId-27213.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-27213.dhtml
57,中国石油大学(北京),https://gaokao.chsi.com.cn/sch/schoolInfo--schId-798.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-798.dhtml
58,中国地质大学(北京),https://gaokao.chsi.com.cn/sch/schoolInfo--schId-27214.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-27214.dhtml
59,北京联合大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-799.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-799.dhtml
60,北京城市学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-800.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-800.dhtml
61,北京青年政治学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-867.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-867.dhtml
62,首钢工学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-930.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-930.dhtml
63,北京农业职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1064.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1064.dhtml
64,北京政法职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1067.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1067.dhtml
65,中国劳动关系学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1068.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1068.dhtml
66,北京财贸职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1095.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1095.dhtml
67,北京北大方正软件职业技术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1098.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1098.dhtml
68,北京经贸职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1099.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1099.dhtml
69,北京经济技术职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1100.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1100.dhtml
70,北京戏曲艺术职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1101.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1101.dhtml
71,北京汇佳职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1102.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1102.dhtml
72,北京科技经营管理学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1215.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1215.dhtml
73,首都师范大学科德学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1872.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1872.dhtml
74,北京工商大学嘉华学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1873.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1873.dhtml
75,北京科技职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1943.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1943.dhtml
76,北京培黎职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1967.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1967.dhtml
77,北京邮电大学世纪学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-403209.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-403209.dhtml
78,北京工业大学耿丹学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1135332.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1135332.dhtml
79,北京交通职业技术学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-726.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-726.dhtml
80,北京警察学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-361153734.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-361153734.dhtml
81,北京经济管理职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1065.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1065.dhtml
82,北京劳动保障职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-4291702.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-4291702.dhtml
83,北京社会管理职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-5216757.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-5216757.dhtml
84,北京艺术传媒职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-5350646.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-5350646.dhtml
85,北京第二外国语学院中瑞酒店管理学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-15323559.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-15323559.dhtml
86,北京体育职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-38698136.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-38698136.dhtml
87,北京交通运输职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-57316996.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-57316996.dhtml
88,北京卫生职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-358682152.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-358682152.dhtml
89,中国科学院大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-956043210.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-956043210.dhtml
90,北京网络职业学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1672438407.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1672438407.dhtml
91,中国社会科学院大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1824984166.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1824984166.dhtml
92,北京大学医学部,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-6405527.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6405527.dhtml
93,北京邮电大学(宏福校区),https://gaokao.chsi.com.cn/sch/schoolInfo--schId-44999692.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-44999692.dhtml
94,陆军装甲兵学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1980487211.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1980487211.dhtml
95,陆军防化学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1980488216.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1980488216.dhtml
96,战略支援部队航天工程大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1980498447.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1980498447.dhtml
97,武警特种警察学院,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-1980499148.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1980499148.dhtml
98,南开大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-48.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-48.dhtml
99,天津大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-49.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-49.dhtml
100,天津科技大学,https://gaokao.chsi.com.cn/sch/schoolInfo--schId-50.dhtml,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-50.dhtml
